Application Name,Owning Group,BMC Remedy Queue,New Structure Remedy Queue
AIX v4.3,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Alarm Master Premium v3.04,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Alba,GenApps,GCC General Apps,GCC Line of Business
Alpha Anywhere Developer,Finance,GCC Fin & Citizen,GCC Citizen Centric
Alpha AnyWhere Runtime,Finance,GCC Fin & Citizen,GCC Citizen Centric
Altair,Finance,GCC Fin & Citizen,GCC Citizen Centric
Altair Management Toolkit,Finance,GCC Fin & Citizen,GCC Citizen Centric
Altair Scanning,Finance,GCC Fin & Citizen,GCC Citizen Centric
AMDIS v2,GenApps,GCC General Apps,GCC Line of Business
Analytical Information Systems LIMS v6.86,GenApps,GCC General Apps,GCC Line of Business
Andover Continuum,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Apache Directory Studio,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Apilab Plus v3.3,GenApps,GCC General Apps,GCC Line of Business
AQC204 v2.04.32,Desktop,GCC Desktop Model Office,DLM Scotland
AquaKem Software v6.5.1,GenApps,GCC General Apps,GCC Line of Business
ARC Connect Operator 5.1.3.1088,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
ARC Connect Wallboard,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
ARC Supervisor Connect,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Arcady v6.2,GenApps,GCC General Apps,GCC Line of Business
ArcCatalogue A,GenApps,GCC General Apps,GCC Line of Business
ArcGIS,GenApps,GCC General Apps,GCC Line of Business
ArcGIS Desktop EDITOR v10.2.3,GenApps,GCC General Apps,GCC Line of Business
ArchieM,GenApps,GCC General Apps,GCC Line of Business
ArcSDE (Caps_sde) v9.2,GenApps,GCC General Apps,GCC Line of Business
Arena,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Arena Schools,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Artifax - Community Lettings,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Artifax - Cultural Venues,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Artisan v2014,GenApps,GCC General Apps,GCC Line of Business
Arts & Museums Visitors,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
ASH/Aspien Debt Recovery Solution v4.0.1.55,Finance,GCC Fin & Citizen,GCC Citizen Centric
