Application Name,Owning Group,BMC Remedy Queue,New Structure Remedy Queue
Mail Chimp,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Mailbook,GenApps,GCC General Apps,GCC Line of Business
MapInfo Professional,Desktop,GCC Desktop Model Office,DLM Scotland
Marcato,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Market Developer (CRM),Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Masshunter,Desktop,GCC Desktop Model Office,DLM Scotland
Masterbill Elite,GenApps,GCC General Apps,GCC Line of Business
Mega Client App,Architecture,,
MEGA v2009,Architecture,,
Memory Map - PSMA/ OSMA National Coverage,Desktop,GCC Desktop Model Office,DLM Scotland
Metspec,Desktop,GCC Desktop Model Office,DLM Scotland
Microgen ID Systems Software 1.2,Desktop,GCC Desktop Model Office,DLM Scotland
Microsoft Office Standard,Desktop,GCC Desktop Model Office,DLM Scotland
Microsoft Office Standard (2013 w8),Desktop,GCC Desktop Model Office,DLM Scotland
Microsoft Office Taskworker,Desktop,GCC Desktop Model Office,DLM Scotland
Microstation v8,GenApps,GCC General Apps,GCC Line of Business
Microstation V8 XM Edition Software Prerequisite,GenApps,GCC General Apps,GCC Line of Business
MindGenius Business v2005,Desktop,GCC Desktop Model Office,DLM Scotland
Minitab,GenApps,GCC General Apps,GCC Line of Business
MIS Graphics,Desktop,GCC Desktop Model Office,DLM Scotland
MKInsight,Finance,GCC Fin & Citizen,GCC Citizen Centric
Mobile App - Class Bookings,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Mobile Pro,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Montie,Desktop,GCC Desktop Model Office,DLM Scotland
MRM Core System,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
"MRM Online (Join@Home, Connect, Mobile Pro, Learn2)",Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
MS Direct Access,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Msoft Equipu Data Load,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
MultiMIMSY,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Multisuite,GenApps,GCC General Apps,GCC Line of Business
Museums Digital Asset Cataloging,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Museums Survey System,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
MWEB,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
MX V8 XM Edition v8,Desktop,GCC Desktop Model Office,DLM Scotland
My Time,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
MyPortal,SAP,GCC SAP,CORP SAP
Mystery Visitors,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
MyWellness,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
n4ce Designer Edition,GenApps,GCC General Apps,GCC Line of Business
natFX,Desktop,GCC Desktop Model Office,DLM Scotland
National Street Gazateer,GenApps,GCC General Apps,GCC Line of Business
NBS Building v5.5.3,GenApps,GCC General Apps,GCC Line of Business
NBS Landscape v5.5.3,GenApps,GCC General Apps,GCC Line of Business
NES Specification Expert BSE v3.1 2010,GenApps,GCC General Apps,GCC Line of Business
NetLoan,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Netweaver Portal v7.0,SAP,GCC SAP,CORP SAP
Network Analyst,GenApps,GCC General Apps,GCC Line of Business
Nice Administrator,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Nice Player Codec Pack,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
NIST Search v1.7,GenApps,GCC General Apps,GCC Line of Business
Nmap for Windows (Zenmap GUI),Desktop,GCC Desktop Model Office,DLM Scotland
Noise Explorer v3.31,GenApps,GCC General Apps,GCC Line of Business
NOMAD,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Northgate Blue Badge Improvement Service,Social Care,GCC Social Care,GCC Citizen Centric
NVivo,GenApps,GCC General Apps,GCC Line of Business
NWBC NetWeaver Business Client,SAP,GCC SAP,CORP SAP
obelisk21.exe v2.01,Desktop,GCC Desktop Model Office,DLM Scotland
Objective Connect,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Octar Control,Parking,GCC Parking,GCC Line of Business
Office 365,Desktop,GCC Desktop Model Office,DLM Scotland
Officebase OBG-0,GenApps,GCC General Apps,GCC Line of Business
Ojmar,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Olympus Device Customisation Program,Desktop,GCC Desktop Model Office,DLM Scotland
Omnipage Professional,Desktop,GCC Desktop Model Office,DLM Scotland
OmniToc,GenApps,GCC General Apps,GCC Line of Business
One LAN,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Online Payments - Santander,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Open Galaxy,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Open Museum Database,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Opera,Desktop,GCC Desktop Model Office,DLM Scotland
Oracle Forms,Finance,GCC Fin & Citizen,GCC Citizen Centric
Oracle Forms 4.5 with Oracle Reports 2.5 - Cash Receipt,GenApps,GCC General Apps,GCC Line of Business
OSCADY,GenApps,GCC General Apps,GCC Line of Business
Outdoor Recreation Usage System,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Paintshop Pro x6,Desktop,GCC Desktop Model Office,DLM Scotland
Paramics Discovery,GenApps,GCC General Apps,GCC Line of Business
Paris Barcode,Finance,GCC Fin & Citizen,GCC Citizen Centric
Paris v3.0,Finance,GCC Fin & Citizen,GCC Citizen Centric
ParkMap,Parking,GCC Parking,GCC Line of Business
Pass Key,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Pavement Management System,GenApps,GCC General Apps,GCC Line of Business
P-Cards,SAP,GCC SAP,CORP SAP
PC-EFT v3.21,Finance,GCC Fin & Citizen,GCC Citizen Centric
PECOS Search,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
PECOS v12.2,SAP,GCC SAP,CORP SAP
Perceptive Process,Desktop,GCC Desktop Model Office,DLM Scotland
Permits + Parking Gateway,Parking,GCC Parking,GCC Line of Business
Pesky Gnats,Desktop,GCC Desktop Model Office,DLM Scotland
Photomodeller Pro v5,Desktop,GCC Desktop Model Office,DLM Scotland
PICADY,GenApps,GCC General Apps,GCC Line of Business
Plancentric,iWeb,GCC iWeb,GCC Digital Dev Team
PNC v7,Social Care,GCC Social Care,GCC Citizen Centric
Powerdraft v8,GenApps,GCC General Apps,GCC Line of Business
PowerPoint Viewer,Desktop,GCC Desktop Model Office,DLM Scotland
Pplus,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Pplus Training,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Preview - Contract Management,Social Care,GCC Social Care,GCC Citizen Centric
Prodev 4020 series,Desktop,GCC Desktop Model Office,DLM Scotland
Property Asset Management,GenApps,GCC General Apps,GCC Line of Business
Propman,GenApps,GCC General Apps,GCC Line of Business
Propman - JBG,GenApps,GCC General Apps,GCC Line of Business
Protos Personal 8,Desktop,GCC Desktop Model Office,DLM Scotland
Public Holiday Letters,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Pulse SSC Helpdesk v1.19,SAP,GCC SAP,CORP SAP
QAS (used by Remedy - contract lists the instance used by SAP),GenApps,GCC General Apps,GCC Line of Business
Q-Matic Orchestra,Finance,GCC Fin & Citizen,GCC Citizen Centric
Q-pulse,GenApps,GCC General Apps,GCC Line of Business
QPulse Docuviewer,GenApps,GCC General Apps,GCC Line of Business
Qtegra,Desktop,GCC Desktop Model Office,DLM Scotland
Quality Assessments,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
QuickAddressPro,SAP,GCC SAP,CORP SAP
Radiolog for Museums,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
radiusFDMS v13.10,Finance,GCC Fin & Citizen,GCC Citizen Centric
Raiser's Edge Hosted,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Raiser's Edge NXT,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Reablement,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Reablement Top Line application,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Read & Write Gold,Desktop,GCC Desktop Model Office,DLM Scotland
ReadIris Pro v12,Desktop,GCC Desktop Model Office,DLM Scotland
Real Player v10,Desktop,GCC Desktop Model Office,DLM Scotland
Recorder,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Records Management,DocMan,GCC Document Management,CORP EDRMS
Records Management (Foxpro),Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
REDNC NetBackup 10,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
REDNC NetBackup Client 10,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Refuse Collection and Recycling Systemas per Land & Environmental Services,GenApps,GCC General Apps,GCC Line of Business
Registers Direct,GenApps,GCC General Apps,GCC Line of Business
Registrars Booking System,GenApps,GCC General Apps,GCC Line of Business
Remedy SP2 7.5,GenApps,GCC General Apps,GCC Line of Business
Rialto,Parking,GCC Parking,GCC Line of Business
Ringo,Parking,GCC Parking,GCC Line of Business
Ripac,GenApps,GCC General Apps,GCC Line of Business
Risk Based Verification Scoring Solution,Finance,GCC Fin & Citizen,GCC Citizen Centric
RootsMagic v4,Desktop,GCC Desktop Model Office,DLM Scotland
Routesmart for ArcGIS,GenApps,GCC General Apps,GCC Line of Business
RouteSmart Navigator,GenApps,GCC General Apps,GCC Line of Business
Routine Maintenance System,GenApps,GCC General Apps,GCC Line of Business
Saffron Housing v7.0,GenApps,GCC General Apps,GCC Line of Business
SAGE 200,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Sage 50 Accounts 2013,Desktop,GCC Desktop Model Office,DLM Scotland
SAGE CRM,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Sage instant accounts,Finance,GCC Fin & Citizen,GCC Citizen Centric
Sage Payroll 50,Finance,GCC Fin & Citizen,GCC Citizen Centric
Sage Reporting Data Load,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Sage200Desktop (CGW),Finance,GCC Fin & Citizen,GCC Citizen Centric
SAM 6,Desktop,GCC Desktop Model Office,DLM Scotland
SAM-LEAP5,GenApps,GCC General Apps,GCC Line of Business
SAND,GenApps,GCC General Apps,GCC Line of Business
SAP BExAnalyser,SAP,GCC SAP,CORP SAP
SAP Extended ECM 9.7.1 by Open Text,DocMan,GCC Document Management,CORP EDRMS
SAP Fiori,SAP,GCC SAP,CORP SAP
SAP Front End PIMS,SAP,GCC SAP,CORP SAP
SAP GUI – Business Warehouse,Data Analytics,GCC SAP BIA,CORP Data Analytics Team
SAP GUI – Production,SAP,GCC SAP,CORP SAP
SAP Nightly Load,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
SAP PI,SAP,GCC SAP,CORP SAP
SAP PIMS,SAP,GCC SAP,CORP SAP
SASPAC v9,GenApps,GCC General Apps,GCC Line of Business
Saturn v10.6.14,GenApps,GCC General Apps,GCC Line of Business
SBClient,GenApps,GCC General Apps,GCC Line of Business
SCALE v4.51,GenApps,GCC General Apps,GCC Line of Business
Scandall,Desktop,GCC Desktop Model Office,DLM Scotland
Scanfile,GenApps,GCC General Apps,GCC Line of Business
SCCM Management Console,Software Ops,GCC Desktop Model Office,DLM Scotland
Schedule Anywhere,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
School Monitoring,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Schools POS solution,Desktop,GCC Desktop Model Office,DLM Scotland
SCI Gateway (GP Referral),Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Scottish Property Network,GenApps,GCC General Apps,GCC Line of Business
Scottish Welfare Fund,Finance,GCC Fin & Citizen,GCC Citizen Centric
Screen Saver Factory software,Desktop,GCC Desktop Model Office,DLM Scotland
SEEMIS,Education,GCC Level 2 Analysts,GCC Level 2 Analysts
Self Assessment System,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Serif MoviePlus X5,Desktop,GCC Desktop Model Office,DLM Scotland
Serif PagePlus 9,Desktop,GCC Desktop Model Office,DLM Scotland
Service User Documents,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Shift Track Adjuster,GenApps,GCC General Apps,GCC Line of Business
Shift Track Admin tools,GenApps,GCC General Apps,GCC Line of Business
Shiftrack v5.5.2,GenApps,GCC General Apps,GCC Line of Business
Sickness Absence,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
SignPlot,GenApps,GCC General Apps,GCC Line of Business
Simplesync,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Site Kiosk,Desktop,GCC Desktop Model Office,DLM Scotland
Situator (aka Nice Situator),Parking,GCC Parking,GCC Line of Business
Sketch Up Professional v8,Desktop,GCC Desktop Model Office,DLM Scotland
SkiData v22.00.05,Parking,GCC Parking,GCC Line of Business
Skipman 38657,GenApps,GCC General Apps,GCC Line of Business
Slope v12,GenApps,GCC General Apps,GCC Line of Business
Smart Board Tools,Parking,GCC Parking,GCC Line of Business
Smart Survey,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Social Work Standby,Social Care,GCC Social Care,GCC Citizen Centric
Social Work Standby (Client Index),Social Care,GCC Social Care,GCC Citizen Centric
Social Work Welfare Appeal,iWeb,GCC iWeb,GCC Digital Dev Team
Software Organiser v5.2.1,Software Ops,GCC Desktop Model Office,DLM Scotland
Sophos Anti-Virus v7.6.21,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Sophos End Point Encryption,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Sophos Enterprise Management Console,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
SoundPLAN,GenApps,GCC General Apps,GCC Line of Business
S-Paramics,GenApps,GCC General Apps,GCC Line of Business
Spark People,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Spiceworks,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Sports Kiosks,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Sprout Social,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
SPSS Statistics v22,GenApps,GCC General Apps,GCC Line of Business
Staff Rota System (Cultural venues),Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Staff Rota System (Mitchell),Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
StartMap Customised Desktop v9.3.1,Desktop,GCC Desktop Model Office,DLM Scotland
Strand Election Management System (SEMS),Finance,GCC Fin & Citizen,GCC Citizen Centric
Strandview v10.1.3.2,Finance,GCC Fin & Citizen,GCC Citizen Centric
Streamline,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Streetserve,GenApps,GCC General Apps,GCC Line of Business
Streetwise Professional,GenApps,GCC General Apps,GCC Line of Business
Structures Management System v11303,GenApps,GCC General Apps,GCC Line of Business
StruWalker,Desktop,GCC Desktop Model Office,DLM Scotland
Struxureware,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Sundry Debtors,SAP,GCC SAP,CORP SAP
SupplierPortal,SAP,GCC SAP,CORP SAP
Surfer v8,GenApps,GCC General Apps,GCC Line of Business
Survey Monkey,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Switch Reader,Desktop,GCC Desktop Model Office,DLM Scotland
SyBase Adaptive Sever Enterprise Suite,SAP,GCC SAP,CORP SAP
Symantec VIP Access,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Symmetry v7,Desktop,GCC Desktop Model Office,DLM Scotland
Talentlink,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
TASS Mobile App,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Tass Reporting Data Load,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Taxi Complaints System,iWeb,GCC iWeb,GCC Digital Dev Team
Taxi Enforcement System,GenApps,GCC General Apps,GCC Line of Business
Technical Indexes,GenApps,GCC General Apps,GCC Line of Business
TEDDS,GenApps,GCC General Apps,GCC Line of Business
Tekla,GenApps,GCC General Apps,GCC Line of Business
Tenable Nessus,Architecture,,
TensarSoil,Desktop,GCC Desktop Model Office,DLM Scotland
TerraExplorer v5,GenApps,GCC General Apps,GCC Line of Business
Thermo Plasma Lab v2.6,GenApps,GCC General Apps,GCC Line of Business
ThirdLight,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Time Management,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Timeplan fuel Systems,GenApps,GCC General Apps,GCC Line of Business
TMS GUI,Parking,GCC Parking,GCC Line of Business
TMS Web App,Parking,GCC Parking,GCC Line of Business
Toolminder,GenApps,GCC General Apps,GCC Line of Business
Total Land Charges (FPE),GenApps,GCC General Apps,GCC Line of Business
Totem Ticket Software v1.21,GenApps,GCC General Apps,GCC Line of Business
TrackPro,Desktop,GCC Desktop Model Office,DLM Scotland
TrackYou,GenApps,GCC General Apps,GCC Line of Business
TrafficSync,Parking,GCC Parking,GCC Line of Business
Trajet - Disk Reader / Skills Package,Desktop,GCC Desktop Model Office,DLM Scotland
Trajet Everec codec,Desktop,GCC Desktop Model Office,DLM Scotland
Trakpro,Desktop,GCC Desktop Model Office,DLM Scotland
Transport,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Transport Management System,GenApps,GCC General Apps,GCC Line of Business
TRANSYT,GenApps,GCC General Apps,GCC Line of Business
Treesize Professional,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Trend 963,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
TRICS v2005,GenApps,GCC General Apps,GCC Line of Business
TRP,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
TRP Integration Client,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Turbomass,GenApps,GCC General Apps,GCC Line of Business
Turbomass NIST 2011 v2.3.0,GenApps,GCC General Apps,GCC Line of Business
UKFSS Desktop,Desktop,GCC Desktop Model Office,DLM Scotland
UMBRACO CRM,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Uniform Automated Email,GenApps,GCC General Apps,GCC Line of Business
Uniform v10.0.4,GenApps,GCC General Apps,GCC Line of Business
UpShot,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Urban Model,GenApps,GCC General Apps,GCC Line of Business
VATC / SCOOT / ASTRID / INGRID,Parking,GCC Parking,GCC Line of Business
vCentre,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Vehicle Data Analyser Pro,Desktop,GCC Desktop Model Office,DLM Scotland
Vehicle ID Creation Solution,Desktop,GCC Desktop Model Office,DLM Scotland
Vibrock,Desktop,GCC Desktop Model Office,DLM Scotland
Video Capture Web Hosting Solution,iWeb,GCC iWeb,GCC Digital Dev Team
View 8i,Desktop,GCC Desktop Model Office,DLM Scotland
VIP Creative Cloud,Desktop,GCC Desktop Model Office,DLM Scotland
Visio Professional v2010,Desktop,GCC Desktop Model Office,DLM Scotland
Visio Standard v2010,Desktop,GCC Desktop Model Office,DLM Scotland
Visio Viewer v2010,Desktop,GCC Desktop Model Office,DLM Scotland
Vision (aka Nice Vision),Parking,GCC Parking,GCC Line of Business
Vision 32 v3.1,GenApps,GCC General Apps,GCC Line of Business
Vision Pro,Desktop,GCC Desktop Model Office,DLM Scotland
VISSIM,GenApps,GCC General Apps,GCC Line of Business
VMware Horizon View Client,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
VMware Vsphere client v5.1,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Vmware Workstation,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Vodafone Paging,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Vodafone Secure Device Manager (VSDM),Desktop,GCC Desktop Model Office,DLM Scotland
Vodaphone Meeting Center,Desktop,GCC Desktop Model Office,DLM Scotland
Volunteer Kinetic,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
V-Ray,Desktop,GCC Desktop Model Office,DLM Scotland
VRS - Virtual ReScan,Desktop,GCC Desktop Model Office,DLM Scotland
"WDM Client 1.1.1 (PMS, RMS, LMS & SMS)",GenApps,GCC General Apps,GCC Line of Business
WDM Crystal Reports 1.0.1,GenApps,GCC General Apps,GCC Line of Business
WDM Lighting Management System,GenApps,GCC General Apps,GCC Line of Business
WDM Vic 2,GenApps,GCC General Apps,GCC Line of Business
WDM_VIC3,GenApps,GCC General Apps,GCC Line of Business
Weighbridge 38685,GenApps,GCC General Apps,GCC Line of Business
Weighbridge Interface v38685,Finance,GCC Fin & Citizen,GCC Citizen Centric
Weighbridge Interface v38685,GenApps,GCC General Apps,GCC Line of Business
Whitespace (Conventions Web Site),Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Wide Image,Desktop,GCC Desktop Model Office,DLM Scotland
WinDES,Desktop,GCC Desktop Model Office,DLM Scotland
Windows 7,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
WinRar,Desktop,GCC Desktop Model Office,DLM Scotland
Winscribe,GenApps,GCC General Apps,GCC Line of Business
Winwedge 32 Pro,GenApps,GCC General Apps,GCC Line of Business
Wireshark,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Wordbar v2,Desktop,GCC Desktop Model Office,DLM Scotland
"Workflow 360 (ex aka DIPS, Comino)",Finance,GCC Fin & Citizen,GCC Citizen Centric
"Workflow 360 (ex aka DIPS, Comino)",Finance,GCC Fin & Citizen,GCC Citizen Centric
World Pay,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Your Support Your Way,Social Care,GCC Social Care,GCC Citizen Centric
ZenGrab Review v1.0 (Bus Lane Camera's),Parking,GCC Parking,GCC Line of Business
Zoomtext v10,Desktop,GCC Desktop Model Office,DLM Scotland
